Expert Risk Rank for ckpt_2 / gate_proj

+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| 30     | 24     | 0.0009       | 0.0078      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 14     | 24     | 0.0007       | 0.0044      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 36     | 24     | 0.0007       | 0.0044      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 12     | 24     | 0.0007       | 0.0029      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 25     | 24     | 0.0007       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 53     | 24     | 0.0007       | 0.0044      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 35     | 24     | 0.0007       | 0.0039      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| 0      | 24     | 0.0007       | 0.0034      | 0.7083      | 0.0000       | 0.0007      | 0.0417      |
| 44     | 24     | 0.0007       | 0.0049      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 45     | 24     | 0.0007       | 0.0044      | 0.5417      | 0.0031       | 0.0746      | 0.0417      |
| 19     | 24     | 0.0006       | 0.0039      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| 24     | 24     | 0.0006       | 0.0034      | 0.6667      | 0.0000       | 0.0007      | 0.0417      |
| 6      | 24     | 0.0006       | 0.0024      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 21     | 24     | 0.0006       | 0.0049      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 8      | 24     | 0.0006       | 0.0034      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 11     | 24     | 0.0006       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 28     | 24     | 0.0006       | 0.0034      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 34     | 24     | 0.0006       | 0.0034      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 1      | 24     | 0.0006       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 46     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 47     | 24     | 0.0006       | 0.0024      | 0.6250      | 0.0000       | 0.0007      | 0.0417      |
| 22     | 24     | 0.0006       | 0.0039      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 15     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0007      | 0.0417      |
| 17     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 50     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 23     | 24     | 0.0006       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 52     | 24     | 0.0006       | 0.0029      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 58     | 24     | 0.0006       | 0.0024      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 42     | 24     | 0.0006       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 5      | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 13     | 24     | 0.0006       | 0.0024      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 49     | 24     | 0.0006       | 0.0024      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 2      | 24     | 0.0005       | 0.0039      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| 41     | 24     | 0.0005       | 0.0039      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 27     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 18     | 24     | 0.0005       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 32     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 4      | 24     | 0.0005       | 0.0024      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 39     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 20     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 26     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 48     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 43     | 24     | 0.0005       | 0.0024      | 0.7083      | 0.0018       | 0.0433      | 0.0417      |
| 7      | 24     | 0.0005       | 0.0024      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 29     | 24     | 0.0005       | 0.0024      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 3      | 24     | 0.0005       | 0.0020      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 56     | 24     | 0.0005       | 0.0020      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| 31     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 59     | 24     | 0.0005       | 0.0029      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| 54     | 24     | 0.0005       | 0.0024      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 9      | 24     | 0.0005       | 0.0024      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 40     | 24     | 0.0005       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 57     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 55     | 24     | 0.0005       | 0.0029      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 37     | 24     | 0.0005       | 0.0020      | 0.5833      | 0.0019       | 0.0447      | 0.0417      |
| 10     | 24     | 0.0004       | 0.0029      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 16     | 24     | 0.0004       | 0.0024      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| 51     | 24     | 0.0004       | 0.0015      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| 33     | 24     | 0.0004       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| 38     | 24     | 0.0004       | 0.0015      | 0.6250      | 0.0000       | 0.0007      | 0.0417      |
+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
