Expert Risk Rank for ckpt_2 / up_proj

+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| 30     | 24     | 0.0014       | 0.0093      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 24     | 24     | 0.0012       | 0.0073      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 14     | 24     | 0.0012       | 0.0083      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 25     | 24     | 0.0012       | 0.0044      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 11     | 24     | 0.0012       | 0.0063      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 45     | 24     | 0.0012       | 0.0054      | 0.7917      | 0.0028       | 0.0675      | 0.0417      |
| 44     | 24     | 0.0012       | 0.0039      | 0.9583      | 0.0000       | 0.0000      | 0.0000      |
| 53     | 24     | 0.0012       | 0.0054      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 49     | 24     | 0.0012       | 0.0034      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 46     | 24     | 0.0011       | 0.0044      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 0      | 24     | 0.0011       | 0.0044      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 8      | 24     | 0.0011       | 0.0034      | 0.9583      | 0.0000       | 0.0000      | 0.0000      |
| 13     | 24     | 0.0011       | 0.0034      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 12     | 24     | 0.0011       | 0.0029      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 52     | 24     | 0.0011       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 55     | 24     | 0.0011       | 0.0039      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 23     | 24     | 0.0011       | 0.0054      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 42     | 24     | 0.0011       | 0.0049      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 7      | 24     | 0.0011       | 0.0039      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 5      | 24     | 0.0011       | 0.0034      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 59     | 24     | 0.0011       | 0.0049      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 34     | 24     | 0.0011       | 0.0044      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 22     | 24     | 0.0011       | 0.0044      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 19     | 24     | 0.0011       | 0.0044      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 17     | 24     | 0.0011       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 31     | 24     | 0.0011       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 3      | 24     | 0.0011       | 0.0034      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 36     | 24     | 0.0010       | 0.0044      | 0.7917      | 0.0000       | 0.0000      | 0.0000      |
| 9      | 24     | 0.0010       | 0.0039      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 35     | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 21     | 24     | 0.0010       | 0.0063      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| 18     | 24     | 0.0010       | 0.0049      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 56     | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 41     | 24     | 0.0010       | 0.0039      | 0.7917      | 0.0000       | 0.0000      | 0.0000      |
| 15     | 24     | 0.0010       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 47     | 24     | 0.0010       | 0.0029      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| 20     | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 28     | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 4      | 24     | 0.0010       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 6      | 24     | 0.0010       | 0.0029      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 43     | 24     | 0.0010       | 0.0029      | 0.7917      | 0.0017       | 0.0419      | 0.0417      |
| 33     | 24     | 0.0010       | 0.0049      | 0.9583      | 0.0000       | 0.0000      | 0.0000      |
| 50     | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 32     | 24     | 0.0010       | 0.0039      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 48     | 24     | 0.0010       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 54     | 24     | 0.0010       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 2      | 24     | 0.0010       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 1      | 24     | 0.0010       | 0.0039      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 40     | 24     | 0.0010       | 0.0039      | 0.7917      | 0.0000       | 0.0000      | 0.0000      |
| 58     | 24     | 0.0010       | 0.0034      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 16     | 24     | 0.0010       | 0.0029      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 39     | 24     | 0.0010       | 0.0029      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 51     | 24     | 0.0010       | 0.0024      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| 26     | 24     | 0.0009       | 0.0034      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| 27     | 24     | 0.0009       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 10     | 24     | 0.0009       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 37     | 24     | 0.0009       | 0.0039      | 0.7500      | 0.0017       | 0.0405      | 0.0417      |
| 29     | 24     | 0.0009       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 57     | 24     | 0.0009       | 0.0034      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| 38     | 24     | 0.0009       | 0.0029      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
