Combined Expert Risk Rank / gate_proj

+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| model  | expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| ckpt_2 | 30     | 24     | 0.0009       | 0.0078      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 14     | 24     | 0.0007       | 0.0044      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 36     | 24     | 0.0007       | 0.0044      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 12     | 24     | 0.0007       | 0.0029      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 25     | 24     | 0.0007       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 53     | 24     | 0.0007       | 0.0044      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 35     | 24     | 0.0007       | 0.0039      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 0      | 24     | 0.0007       | 0.0034      | 0.7083      | 0.0000       | 0.0007      | 0.0417      |
| ckpt_2 | 44     | 24     | 0.0007       | 0.0049      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 45     | 24     | 0.0007       | 0.0044      | 0.5417      | 0.0031       | 0.0746      | 0.0417      |
| ckpt_2 | 19     | 24     | 0.0006       | 0.0039      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 24     | 24     | 0.0006       | 0.0034      | 0.6667      | 0.0000       | 0.0007      | 0.0417      |
| ckpt_2 | 6      | 24     | 0.0006       | 0.0024      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 21     | 24     | 0.0006       | 0.0049      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 8      | 24     | 0.0006       | 0.0034      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 11     | 24     | 0.0006       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 28     | 24     | 0.0006       | 0.0034      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 34     | 24     | 0.0006       | 0.0034      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 1      | 24     | 0.0006       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 46     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 47     | 24     | 0.0006       | 0.0024      | 0.6250      | 0.0000       | 0.0007      | 0.0417      |
| ckpt_2 | 22     | 24     | 0.0006       | 0.0039      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 15     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0007      | 0.0417      |
| ckpt_2 | 17     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 50     | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 23     | 24     | 0.0006       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 52     | 24     | 0.0006       | 0.0029      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 58     | 24     | 0.0006       | 0.0024      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 42     | 24     | 0.0006       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 5      | 24     | 0.0006       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 13     | 24     | 0.0006       | 0.0024      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 49     | 24     | 0.0006       | 0.0024      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 2      | 24     | 0.0005       | 0.0039      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 41     | 24     | 0.0005       | 0.0039      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 27     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 18     | 24     | 0.0005       | 0.0029      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 32     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 4      | 24     | 0.0005       | 0.0024      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 39     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 20     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 26     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 48     | 24     | 0.0005       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 43     | 24     | 0.0005       | 0.0024      | 0.7083      | 0.0018       | 0.0433      | 0.0417      |
| ckpt_2 | 7      | 24     | 0.0005       | 0.0024      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 29     | 24     | 0.0005       | 0.0024      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 3      | 24     | 0.0005       | 0.0020      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 56     | 24     | 0.0005       | 0.0020      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 31     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 59     | 24     | 0.0005       | 0.0029      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 54     | 24     | 0.0005       | 0.0024      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 9      | 24     | 0.0005       | 0.0024      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 40     | 24     | 0.0005       | 0.0034      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 57     | 24     | 0.0005       | 0.0029      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 55     | 24     | 0.0005       | 0.0029      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 37     | 24     | 0.0005       | 0.0020      | 0.5833      | 0.0019       | 0.0447      | 0.0417      |
| ckpt_2 | 10     | 24     | 0.0004       | 0.0029      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 16     | 24     | 0.0004       | 0.0024      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 51     | 24     | 0.0004       | 0.0015      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 33     | 24     | 0.0004       | 0.0029      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 38     | 24     | 0.0004       | 0.0015      | 0.6250      | 0.0000       | 0.0007      | 0.0417      |
+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
