Combined Expert Risk Rank / up_proj

+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| model  | expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+--------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| ckpt_2 | 30     | 24     | 0.0014       | 0.0093      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 24     | 24     | 0.0012       | 0.0073      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 14     | 24     | 0.0012       | 0.0083      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 25     | 24     | 0.0012       | 0.0044      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 11     | 24     | 0.0012       | 0.0063      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 45     | 24     | 0.0012       | 0.0054      | 0.7917      | 0.0028       | 0.0675      | 0.0417      |
| ckpt_2 | 44     | 24     | 0.0012       | 0.0039      | 0.9583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 53     | 24     | 0.0012       | 0.0054      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 49     | 24     | 0.0012       | 0.0034      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 46     | 24     | 0.0011       | 0.0044      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 0      | 24     | 0.0011       | 0.0044      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 8      | 24     | 0.0011       | 0.0034      | 0.9583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 13     | 24     | 0.0011       | 0.0034      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 12     | 24     | 0.0011       | 0.0029      | 0.9167      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 52     | 24     | 0.0011       | 0.0039      | 0.8750      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_2 | 55     | 24     | 0.0011       | 0.0039      | 0.8333      | 0.0000       | 0.0000      | 0.0000      |
