Combined Expert Risk Rank / down_proj

+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| model                | expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| ckpt_20260521_103144 | 45     | 24     | 0.0145       | 0.1705      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 26     | 24     | 0.0139       | 0.1271      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 28     | 24     | 0.0131       | 0.2642      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 49     | 24     | 0.0125       | 0.1435      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 41     | 24     | 0.0104       | 0.0653      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 37     | 24     | 0.0104       | 0.1250      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 53     | 24     | 0.0094       | 0.0959      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 57     | 24     | 0.0088       | 0.0845      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 6      | 24     | 0.0086       | 0.1463      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 36     | 24     | 0.0083       | 0.0746      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 31     | 24     | 0.0083       | 0.0973      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 14     | 24     | 0.0079       | 0.0661      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 43     | 24     | 0.0079       | 0.1037      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 38     | 24     | 0.0076       | 0.0632      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 51     | 24     | 0.0074       | 0.1058      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 2      | 24     | 0.0071       | 0.0497      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 22     | 24     | 0.0070       | 0.1001      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 55     | 24     | 0.0069       | 0.0710      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 27     | 24     | 0.0069       | 0.0384      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 33     | 24     | 0.0067       | 0.0419      | 0.7500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 56     | 24     | 0.0067       | 0.0384      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 9      | 24     | 0.0067       | 0.0405      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 59     | 24     | 0.0065       | 0.0824      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 19     | 24     | 0.0065       | 0.0341      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 18     | 24     | 0.0062       | 0.0618      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 44     | 24     | 0.0059       | 0.0348      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 54     | 24     | 0.0058       | 0.0440      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 4      | 24     | 0.0057       | 0.0781      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 13     | 24     | 0.0056       | 0.0249      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 23     | 24     | 0.0056       | 0.0554      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 12     | 24     | 0.0055       | 0.0753      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 52     | 24     | 0.0053       | 0.0440      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 34     | 24     | 0.0053       | 0.0384      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 48     | 24     | 0.0051       | 0.0518      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 46     | 24     | 0.0051       | 0.0412      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 3      | 24     | 0.0047       | 0.0533      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 25     | 24     | 0.0046       | 0.0689      | 0.6250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 39     | 24     | 0.0046       | 0.0412      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 15     | 24     | 0.0044       | 0.0170      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 0      | 24     | 0.0042       | 0.0355      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 24     | 24     | 0.0042       | 0.0412      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 35     | 24     | 0.0041       | 0.0476      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 32     | 24     | 0.0041       | 0.0376      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 11     | 24     | 0.0038       | 0.0128      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 50     | 24     | 0.0037       | 0.0234      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 20     | 24     | 0.0036       | 0.0291      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 21     | 24     | 0.0036       | 0.0277      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 17     | 24     | 0.0035       | 0.0334      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 40     | 24     | 0.0035       | 0.0270      | 0.7083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 1      | 24     | 0.0033       | 0.0163      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 7      | 24     | 0.0032       | 0.0298      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 47     | 24     | 0.0030       | 0.0149      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 42     | 24     | 0.0030       | 0.0114      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 30     | 24     | 0.0030       | 0.0199      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 10     | 24     | 0.0029       | 0.0156      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 5      | 24     | 0.0028       | 0.0284      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 29     | 24     | 0.0028       | 0.0206      | 0.5833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 8      | 24     | 0.0025       | 0.0256      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 58     | 24     | 0.0021       | 0.0114      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 16     | 24     | 0.0017       | 0.0092      | 0.6667      | 0.0000       | 0.0000      | 0.0000      |
+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
