Combined Expert Risk Rank / up_proj

+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| model                | expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| ckpt_20260521_103144 | 4      | 24     | 0.0002       | 0.0020      | 0.2083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 39     | 24     | 0.0002       | 0.0010      | 0.2500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 58     | 24     | 0.0002       | 0.0015      | 0.2500      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 49     | 24     | 0.0002       | 0.0015      | 0.2083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 22     | 24     | 0.0002       | 0.0015      | 0.2083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 1      | 24     | 0.0002       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 16     | 24     | 0.0002       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 52     | 24     | 0.0002       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 50     | 24     | 0.0001       | 0.0020      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 8      | 24     | 0.0001       | 0.0015      | 0.2083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 0      | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 12     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 21     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 25     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 32     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 41     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 20     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 42     | 24     | 0.0001       | 0.0020      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 2      | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 17     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 29     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 44     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 48     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 54     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 57     | 24     | 0.0001       | 0.0015      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 7      | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 10     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 11     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 27     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 3      | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 14     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 19     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 23     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 24     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 35     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 55     | 24     | 0.0001       | 0.0015      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 30     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 56     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 28     | 24     | 0.0001       | 0.0010      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 34     | 24     | 0.0001       | 0.0010      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 59     | 24     | 0.0001       | 0.0005      | 0.2083      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 6      | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 13     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 15     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 36     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 46     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 53     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 9      | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 26     | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 40     | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 51     | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 18     | 24     | 0.0001       | 0.0005      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 45     | 24     | 0.0001       | 0.0005      | 0.1667      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 47     | 24     | 0.0001       | 0.0015      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 38     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 5      | 24     | 0.0001       | 0.0005      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 31     | 24     | 0.0001       | 0.0005      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 33     | 24     | 0.0000       | 0.0005      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 43     | 24     | 0.0000       | 0.0005      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103144 | 37     | 24     | 0.0000       | 0.0005      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
