Expert Risk Rank for ckpt_20260521_103933 / down_proj

+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| 45     | 24     | 0.0113       | 0.1534      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 49     | 24     | 0.0094       | 0.1179      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| 37     | 24     | 0.0094       | 0.1158      | 0.3750      | 0.0000       | 0.0000      | 0.0000      |
| 26     | 24     | 0.0090       | 0.1236      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 36     | 24     | 0.0078       | 0.1080      | 0.3750      | 0.0000       | 0.0000      | 0.0000      |
| 14     | 24     | 0.0077       | 0.1129      | 0.3750      | 0.0000       | 0.0000      | 0.0000      |
| 38     | 24     | 0.0067       | 0.0916      | 0.3333      | 0.0000       | 0.0000      | 0.0000      |
| 6      | 24     | 0.0066       | 0.1449      | 0.3333      | 0.0000       | 0.0000      | 0.0000      |
| 46     | 24     | 0.0066       | 0.0895      | 0.5000      | 0.0000       | 0.0000      | 0.0000      |
| 4      | 24     | 0.0064       | 0.0788      | 0.4167      | 0.0000       | 0.0000      | 0.0000      |
| 57     | 24     | 0.0063       | 0.0732      | 0.4167      | 0.0000       | 0.0000      | 0.0000      |
| 54     | 24     | 0.0062       | 0.0689      | 0.3750      | 0.0000       | 0.0000      | 0.0000      |
| 53     | 24     | 0.0062       | 0.0526      | 0.4167      | 0.0000       | 0.0000      | 0.0000      |
| 43     | 24     | 0.0060       | 0.0966      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| 55     | 24     | 0.0057       | 0.1207      | 0.2917      | 0.0000       | 0.0000      | 0.0000      |
| 41     | 24     | 0.0050       | 0.0426      | 0.4167      | 0.0000       | 0.0000      | 0.0000      |
| 28     | 24     | 0.0049       | 0.0930      | 0.4167      | 0.0000       | 0.0000      | 0.0000      |
| 56     | 24     | 0.0047       | 0.0298      | 0.5417      | 0.0000       | 0.0000      | 0.0000      |
| 3      | 24     | 0.0043       | 0.0540      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| 31     | 24     | 0.0041       | 0.0526      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| 19     | 24     | 0.0038       | 0.0327      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
| 2      | 24     | 0.0038       | 0.0348      | 0.3750      | 0.0000       | 0.0000      | 0.0000      |
| 48     | 24     | 0.0037       | 0.0597      | 0.3333      | 0.0000       | 0.0000      | 0.0000      |
| 40     | 24     | 0.0037       | 0.0469      | 0.4583      | 0.0000       | 0.0000      | 0.0000      |
