Combined Expert Risk Rank / up_proj

+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| model                | expert | layers | mean_sig_col | max_sig_col | sig_col_inc | mean_sig_row | max_sig_row | sig_row_inc |
+----------------------+--------+--------+--------------+-------------+-------------+--------------+-------------+-------------+
| ckpt_20260521_103933 | 23     | 24     | 0.0001       | 0.0015      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 42     | 24     | 0.0001       | 0.0020      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 20     | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 55     | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 58     | 24     | 0.0001       | 0.0010      | 0.1250      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 52     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 1      | 24     | 0.0001       | 0.0015      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 8      | 24     | 0.0001       | 0.0015      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 21     | 24     | 0.0001       | 0.0015      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 47     | 24     | 0.0001       | 0.0015      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 54     | 24     | 0.0001       | 0.0015      | 0.0417      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 2      | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 4      | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 7      | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 11     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 14     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 15     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 17     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 25     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 27     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 28     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 30     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
| ckpt_20260521_103933 | 31     | 24     | 0.0001       | 0.0010      | 0.0833      | 0.0000       | 0.0000      | 0.0000      |
