run_start method=moe_wanda model=/data1/ldk/model/Qwen1.5/models--Qwen--Qwen1.5-MoE-A2.7B/snapshots/1a758c50ecb6350748b9ce0a99d2352fd9fc11c9 sparsity=0.5 nsamples=128 routing_mode=dense_softmax routing_power=1.5 cluster_experts=True cluster_k=10
layer=0 delta_rms=0.003084 relative_delta_rms=0.121883 top_zero_col_module=mlp.experts.45.down_proj top_zero_col_ratio=0.080966
layer=1 delta_rms=0.003862 relative_delta_rms=0.045803 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=2 delta_rms=0.005054 relative_delta_rms=0.054063 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=3 delta_rms=0.006263 relative_delta_rms=0.062901 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=4 delta_rms=0.007374 relative_delta_rms=0.069236 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=5 delta_rms=0.008602 relative_delta_rms=0.079175 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=6 delta_rms=0.010077 relative_delta_rms=0.041988 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=7 delta_rms=0.011435 relative_delta_rms=0.046218 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=8 delta_rms=0.012703 relative_delta_rms=0.049285 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=9 delta_rms=0.013348 relative_delta_rms=0.050241 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=10 delta_rms=0.015225 relative_delta_rms=0.054402 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=11 delta_rms=0.016950 relative_delta_rms=0.056965 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=12 delta_rms=0.020037 relative_delta_rms=0.062220 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=13 delta_rms=0.023988 relative_delta_rms=0.066811 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=14 delta_rms=0.029992 relative_delta_rms=0.071796 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=15 delta_rms=0.036940 relative_delta_rms=0.073737 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=16 delta_rms=0.043194 relative_delta_rms=0.073703 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=17 delta_rms=0.052767 relative_delta_rms=0.074593 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=18 delta_rms=0.059820 relative_delta_rms=0.070369 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=19 delta_rms=0.068295 relative_delta_rms=0.068690 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=20 delta_rms=0.081211 relative_delta_rms=0.070881 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=21 delta_rms=0.091128 relative_delta_rms=0.070024 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=22 delta_rms=0.097529 relative_delta_rms=0.063017 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=23 delta_rms=0.094017 relative_delta_rms=0.039162 top_zero_col_module=mlp.experts.26.down_proj top_zero_col_ratio=0.004972
run_complete actual_sparsity=0.500000 ppl_test=7.766903
