run_start method=moe_wanda model=/data1/ldk/model/Qwen1.5/models--Qwen--Qwen1.5-MoE-A2.7B/snapshots/1a758c50ecb6350748b9ce0a99d2352fd9fc11c9 sparsity=0.5 nsamples=128 routing_mode=dense_softmax routing_power=2.0 cluster_experts=False cluster_k=15
layer=0 delta_rms=0.003261 relative_delta_rms=0.128891 top_zero_col_module=mlp.experts.45.down_proj top_zero_col_ratio=0.078835
layer=1 delta_rms=0.005990 relative_delta_rms=0.072726 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=2 delta_rms=0.005446 relative_delta_rms=0.061488 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=3 delta_rms=0.006507 relative_delta_rms=0.068448 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=4 delta_rms=0.007660 relative_delta_rms=0.074597 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=5 delta_rms=0.009035 relative_delta_rms=0.083102 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=6 delta_rms=0.022618 relative_delta_rms=0.095549 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=7 delta_rms=0.011934 relative_delta_rms=0.052343 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=8 delta_rms=0.013210 relative_delta_rms=0.055247 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=9 delta_rms=0.014006 relative_delta_rms=0.056567 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=10 delta_rms=0.015820 relative_delta_rms=0.060225 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=11 delta_rms=0.017731 relative_delta_rms=0.062985 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=12 delta_rms=0.021023 relative_delta_rms=0.068380 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=13 delta_rms=0.025067 relative_delta_rms=0.072456 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=14 delta_rms=0.031843 relative_delta_rms=0.078153 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=15 delta_rms=0.039636 relative_delta_rms=0.080448 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=16 delta_rms=0.047147 relative_delta_rms=0.081341 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=17 delta_rms=0.056810 relative_delta_rms=0.080607 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=18 delta_rms=0.064615 relative_delta_rms=0.076392 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=19 delta_rms=0.075321 relative_delta_rms=0.076109 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=20 delta_rms=0.087823 relative_delta_rms=0.077062 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=21 delta_rms=0.099813 relative_delta_rms=0.077056 top_zero_col_module=mlp.experts.0.gate_proj top_zero_col_ratio=0.000000
layer=22 delta_rms=0.110818 relative_delta_rms=0.071788 top_zero_col_module=mlp.experts.4.down_proj top_zero_col_ratio=0.000710
layer=23 delta_rms=0.114098 relative_delta_rms=0.047678 top_zero_col_module=mlp.experts.26.down_proj top_zero_col_ratio=0.001420
run_complete actual_sparsity=0.500000 ppl_test=7.739936
